new_cases,new_deaths,new_tests,total_cases,total_deaths,total_tests,location,continent,population,life_expectancy,hospital_beds_per_thousand,gdp_per_capita
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
3.0,0.0,,3.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,3.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,3.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,3.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,3.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,3.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,3.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,3.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,3.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,3.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,3.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,3.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,3.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,3.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,3.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,3.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,3.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,3.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,3.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,3.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,3.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
0.0,0.0,,3.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
14.0,0.0,,17.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
62.0,2.0,,79.0,2.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
53.0,0.0,,132.0,2.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
97.0,4.0,,229.0,6.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
93.0,5.0,,322.0,11.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
78.0,1.0,,400.0,12.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
250.0,5.0,,650.0,17.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
238.0,4.0,,888.0,21.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
240.0,8.0,,1128.0,29.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
561.0,6.0,,1689.0,35.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
347.0,17.0,,2036.0,52.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
466.0,28.0,,2502.0,80.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
587.0,27.0,,3089.0,107.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
769.0,41.0,,3858.0,148.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
778.0,49.0,,4636.0,197.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
1247.0,36.0,,5883.0,233.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
1492.0,133.0,,7375.0,366.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
1797.0,98.0,,9172.0,464.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
977.0,167.0,,10149.0,631.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
2313.0,196.0,,12462.0,827.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
2651.0,189.0,,15113.0,1016.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
2547.0,252.0,,17660.0,1268.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
3497.0,173.0,,21157.0,1441.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
2823.0,370.0,,23980.0,1811.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
4000.0,347.0,,27980.0,2158.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
3526.0,347.0,,31506.0,2505.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
4207.0,473.0,,35713.0,2978.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
5322.0,429.0,,41035.0,3407.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
5986.0,625.0,,47021.0,4032.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
6557.0,795.0,,53578.0,4827.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
5560.0,649.0,,59138.0,5476.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
4789.0,601.0,,63927.0,6077.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
5249.0,743.0,,69176.0,6820.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
5210.0,685.0,,74386.0,7505.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
6153.0,660.0,,80539.0,8165.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
5959.0,971.0,,86498.0,9136.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
5974.0,887.0,,92472.0,10023.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
5217.0,758.0,,97689.0,10781.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
4050.0,810.0,,101739.0,11591.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
4053.0,839.0,,105792.0,12430.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
